year,pct,sex,race,stopped,arrested,frisked,searched,summoned,contrabn,weapnfnd,pf_weapn,pf_hcuff,cs_objcs,cs_descr,cs_casng,cs_lkout,cs_cloth,cs_drgtr,cs_furtv,cs_vcrim,cs_bulge,rf_vcrim,rf_othsw,rf_attir,rf_vcact,rf_rfcmp,rf_verbl,rf_knowl,rf_furtv,rf_bulge
2003,1,F,A,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,1,F,B,11,2,2,0,0,0,2,2,0,1,3,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
2003,1,F,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1,F,P,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1,F,Q,6,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2003,1,F,W,5,1,1,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
2003,1,M,A,26,0,9,3,1,0,0,0,1,1,12,6,1,0,0,2,2,0,4,3,1,1,1,0,0,1,0
2003,1,M,B,260,21,114,42,13,4,12,9,22,3,96,74,19,4,2,34,5,11,36,48,20,3,14,2,3,32,17
2003,1,M,I,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1,M,P,29,5,9,4,0,1,3,1,4,3,9,10,2,1,1,4,0,2,3,1,2,2,1,1,0,0,2
2003,1,M,Q,108,8,48,20,6,6,5,3,9,3,34,34,15,3,4,13,3,6,13,24,10,3,12,4,0,8,5
2003,1,M,W,127,4,63,16,11,2,2,8,11,5,31,35,13,2,8,13,10,6,15,18,6,5,16,1,4,16,9
2003,5,F,A,11,1,2,1,1,1,1,0,2,2,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0
2003,5,F,B,9,1,2,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
2003,5,F,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,5,F,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,5,F,Q,11,3,2,0,0,0,0,0,1,0,5,4,4,0,0,0,2,0,0,1,1,0,0,0,1,0,0
2003,5,F,W,5,1,3,1,0,1,0,0,2,0,2,0,0,1,0,2,0,0,1,3,0,0,0,0,0,1,0
2003,5,M,A,125,19,67,14,17,3,6,1,13,7,33,13,11,4,4,48,3,15,24,20,3,2,23,2,0,36,17
2003,5,M,B,176,45,93,36,6,4,9,6,32,4,83,43,14,5,8,36,1,14,29,34,11,4,26,4,0,39,12
2003,5,M,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,5,M,P,20,2,13,8,0,0,1,1,1,4,12,4,1,0,0,5,1,2,3,4,1,1,1,0,1,6,2
2003,5,M,Q,127,15,65,16,2,3,2,6,20,4,37,30,12,1,7,24,1,8,20,22,9,5,12,1,4,24,8
2003,5,M,W,85,22,52,15,2,5,1,5,13,6,40,7,5,4,2,13,2,2,22,25,3,1,8,1,1,13,1
2003,6,F,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,6,F,B,46,8,18,7,0,0,0,3,5,1,19,5,7,5,10,13,3,3,5,8,2,1,3,1,1,6,2
2003,6,F,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,6,F,P,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,6,F,Q,14,1,4,2,0,0,1,1,1,1,5,1,2,2,3,3,1,1,1,2,1,0,1,0,1,0,1
2003,6,F,W,18,2,7,0,0,0,0,2,6,0,4,1,1,0,5,1,1,0,2,0,0,0,6,0,0,0,1
2003,6,M,A,11,2,6,2,1,0,0,0,3,0,3,3,2,1,1,0,0,1,1,1,0,0,4,0,0,2,1
2003,6,M,B,368,37,161,37,4,7,7,25,30,5,168,49,32,11,48,62,14,20,53,39,29,21,31,7,6,52,31
2003,6,M,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,6,M,P,16,1,5,2,1,0,0,1,1,0,7,4,3,2,2,1,0,1,2,1,0,0,1,0,0,2,1
2003,6,M,Q,103,16,33,11,4,3,2,6,14,2,41,14,9,3,10,12,5,7,9,12,5,2,9,0,2,5,6
2003,6,M,W,135,16,52,21,5,7,5,6,16,7,50,32,10,1,21,17,7,5,18,25,0,9,12,1,0,17,3
2003,7,F,A,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2003,7,F,B,43,4,8,4,0,4,1,0,1,0,4,9,2,1,9,6,2,1,0,9,0,0,0,0,0,1,0
2003,7,F,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,7,F,P,8,0,2,1,0,0,0,0,2,0,3,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,1
2003,7,F,Q,43,3,8,5,1,2,0,0,0,0,8,3,5,0,8,5,0,1,1,7,0,0,2,0,0,1,1
2003,7,F,W,9,1,1,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0
2003,7,M,A,65,8,41,13,3,6,4,2,4,9,16,5,3,1,7,13,0,1,5,21,0,0,14,0,0,14,0
2003,7,M,B,447,38,194,42,10,13,10,9,19,7,144,59,24,7,40,69,20,29,46,83,14,8,31,2,7,60,28
2003,7,M,I,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,7,M,P,137,8,56,8,6,3,0,1,6,1,49,17,13,5,13,18,4,7,21,15,9,3,7,1,3,15,5
2003,7,M,Q,653,54,265,71,20,32,22,9,25,17,171,70,57,15,71,110,8,32,62,116,29,16,39,2,12,98,41
2003,7,M,W,117,19,57,18,6,6,5,2,4,8,21,17,4,3,17,20,5,8,5,29,6,3,10,0,4,19,8
2003,9,F,A,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,9,F,B,20,1,5,2,0,0,0,0,0,0,0,4,2,0,3,2,1,0,0,1,1,0,0,0,1,2,0
2003,9,F,I,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,9,F,P,4,0,2,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0
2003,9,F,Q,33,2,9,2,0,0,3,5,1,3,8,2,3,0,5,7,2,0,1,2,0,1,5,0,0,4,0
2003,9,F,W,59,9,18,6,8,2,0,0,2,2,15,8,2,3,8,17,4,2,1,3,2,1,5,0,0,9,2
2003,9,M,A,32,6,16,7,1,4,0,0,3,0,8,4,2,0,4,7,0,0,3,6,1,1,4,0,0,7,0
2003,9,M,B,405,40,215,45,18,14,17,12,34,12,105,78,46,6,78,121,20,21,46,69,14,16,35,7,8,110,15
2003,9,M,I,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,9,M,P,73,2,42,10,2,1,1,0,5,1,28,10,10,2,20,23,3,6,9,8,11,5,8,0,0,20,7
2003,9,M,Q,508,39,277,46,20,15,16,12,35,15,141,74,57,6,61,166,18,34,53,81,25,11,51,2,11,160,29
2003,9,M,W,316,32,139,22,15,11,4,3,19,13,108,49,19,3,45,72,16,3,25,39,20,8,26,3,7,69,12
2003,10,F,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,10,F,B,39,4,11,6,2,3,1,2,4,0,4,3,4,0,2,5,2,0,1,8,0,1,3,0,0,3,0
2003,10,F,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,10,F,P,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2003,10,F,Q,27,1,7,1,0,1,0,1,1,0,4,1,1,0,0,2,1,0,3,5,0,0,1,0,0,2,0
2003,10,F,W,13,0,2,0,0,0,0,0,0,0,3,0,0,0,4,4,1,0,1,2,0,0,1,0,0,1,0
2003,10,M,A,29,2,21,3,1,1,1,0,3,0,3,6,1,0,1,12,0,3,0,9,0,0,6,0,0,7,3
2003,10,M,B,618,80,331,85,8,27,12,22,43,19,191,123,47,24,67,86,56,38,75,98,41,30,91,4,13,128,51
2003,10,M,I,4,1,1,1,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
2003,10,M,P,71,9,34,12,1,5,2,3,8,2,20,17,8,5,10,14,9,7,8,9,6,6,6,2,2,18,8
2003,10,M,Q,323,32,155,43,11,17,5,7,18,11,59,64,30,5,36,42,32,22,42,45,13,15,44,6,5,61,20
2003,10,M,W,184,23,102,29,11,12,2,7,16,9,34,40,16,1,28,41,13,9,18,29,5,5,34,8,4,44,13
2003,13,F,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,13,F,B,16,0,5,0,1,0,0,0,3,1,2,2,3,0,2,3,0,1,0,2,1,0,1,0,0,1,2
2003,13,F,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,13,F,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,13,F,Q,9,0,2,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,1,0,2,1
2003,13,F,W,22,1,3,0,1,0,0,1,0,1,3,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
2003,13,M,A,17,0,5,1,0,0,0,0,2,1,1,0,0,0,0,0,1,1,3,2,0,1,3,0,0,0,0
2003,13,M,B,311,31,155,39,8,5,1,13,32,14,97,48,18,8,23,64,8,7,39,59,17,8,30,5,6,52,14
2003,13,M,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,13,M,P,22,1,12,3,1,0,0,1,0,0,11,4,0,1,2,5,0,1,5,2,1,0,1,0,0,4,6
2003,13,M,Q,141,8,67,16,5,5,4,5,16,7,56,14,6,1,19,11,10,6,12,26,6,6,6,2,5,19,12
2003,13,M,W,113,15,47,12,0,2,2,3,6,6,36,19,3,0,6,12,0,3,4,15,8,3,8,0,1,8,11
2003,14,F,A,15,0,3,0,1,0,0,0,1,0,0,0,1,0,0,5,0,2,1,0,0,0,3,0,0,2,0
2003,14,F,B,95,11,11,11,3,1,1,5,4,2,24,21,14,5,9,16,1,0,1,9,0,0,3,0,0,1,0
2003,14,F,I,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,14,F,P,6,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,14,F,Q,36,7,10,4,0,1,0,1,0,1,9,6,5,2,6,3,0,0,3,5,1,0,1,0,0,2,0
2003,14,F,W,62,13,7,4,1,2,0,0,6,4,5,17,8,6,9,13,0,1,0,3,0,0,2,0,0,4,1
2003,14,M,A,74,7,19,6,3,3,1,4,7,4,12,20,14,0,6,8,4,0,7,6,3,3,7,0,0,6,2
2003,14,M,B,1393,151,422,163,44,26,16,27,101,59,321,417,204,48,226,289,28,52,95,167,61,13,82,9,15,145,54
2003,14,M,I,6,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2003,14,M,P,99,9,35,8,2,2,4,3,4,5,24,20,10,3,21,16,3,5,13,17,5,2,0,2,1,2,4
2003,14,M,Q,564,47,173,59,14,10,6,14,43,18,107,162,76,15,101,109,26,26,32,75,21,17,35,9,0,47,23
2003,14,M,W,448,33,88,30,18,3,7,15,22,17,46,119,59,7,87,99,12,24,23,29,14,12,20,0,2,37,19
2003,17,F,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,F,B,21,10,10,8,1,3,0,0,7,2,5,0,3,0,1,0,0,2,1,6,1,0,0,0,0,0,2
2003,17,F,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,F,P,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2003,17,F,Q,3,2,2,2,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2003,17,F,W,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,M,A,8,0,1,0,0,0,0,0,0,2,2,4,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
2003,17,M,B,137,42,81,44,2,20,2,2,34,13,40,29,7,4,21,18,1,6,14,35,5,1,7,4,5,21,12
2003,17,M,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,M,P,9,3,6,4,0,1,0,0,1,2,1,2,0,1,0,2,0,0,2,3,0,0,1,0,0,2,0
2003,17,M,Q,52,16,33,20,3,5,5,5,16,2,7,9,1,1,8,3,2,5,6,8,1,2,6,1,0,7,7
2003,17,M,W,60,16,34,10,2,6,2,1,13,4,15,6,2,1,6,7,1,4,7,7,5,0,6,0,1,10,9
2003,18,F,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
